,Id,Unbalanced Reaction,Unbalanced Type,Reason,Shared Metabolites,Mass Difference,Charge Difference
0,NMO,NMO: etha_c + fmnh2_c + o2_c --> acald_c + fmn_c + 6.0 h_c + no2_c,"Mass, Charge",NMO,"h_c, fmnh2_c, etha_c, no2_c, acald_c, o2_c, fmn_c",H: 2.0,6.0
1,MYCTR,MYCTR: 2.0 msh_c + nadp_c <=> h_c + mssg_c + nadph_c,Mass,,,S: -1.0,0.0
2,MYCTR2,MYCTR2: gthox_c + 2.0 msh_c --> 2.0 gthrd_c + mssg_c,Mass,,,S: -1.0,0.0
3,AMMQT8,AMMQT8: 2dmmq8_c + amet_c + h_c --> ahcys_c + mql8_c,Charge,AMMQT8,"amet_c, ahcys_c, mql8_c, h_c, 2dmmq8_c",,-2.0
4,AMPEP16,AMPEP16: h2o_c + lysglugly_c --> glu__L_c + gly_c + lys__L_c,Charge,AMPEP16,"glu__L_c, h2o_c, gly_c, lys__L_c, lysglugly_c",,-1.0
5,DACL,DACL: abg4_c + h2o_c + h_c <=> 4abz_c + glu__D_c,Charge,DACL,"h_c, h2o_c, 4abz_c, glu__D_c, abg4_c",,-3.0
6,DHNAOT,DHNAOT: dhna_c + octdp_c --> 2dmmq8_c + co2_c + h_c + ppi_c,Charge,DHNAOT,"ppi_c, dhna_c, octdp_c, h_c, 2dmmq8_c, co2_c",,2.0
7,DTBTST,DTBTST: 2.0 amet_c + dtbt_c + s_c --> btn_c + 2.0 dad_5_c + 2.0 met__L_c,Charge,,,,-2.0
8,SMIA1,SMIA1: fe2_e + stfrnA_e <=> istfrnA_e,Charge,,,,-2.0
9,SMIB1,SMIB1: fe2_e + stfrnB_e <=> istfrnB_e,Charge,SMIB1,"fe2_e, istfrnB_e, stfrnB_e",,-4.0
10,BMNMSHS,BMNMSHS: bmn_c + msh_c --> bmnmsh_c + 2.0 h_c,Charge,"GALKr, BMNMSHS",h_c,,2.0
11,BTS2,BTS2: cys__L_c + dtbt_c <=> ala__L_c + btn_c + 2.0 h_c,Charge,"H2CO3D2, BTS2",h_c,,2.0
12,FPRA,FPRA: fdxrd_c + h_c + nadp_c --> fdxox_c + nadph_c,Charge,"G5SD, FPRA","nadph_c, h_c, nadp_c",,-1.0
13,MECDPDH,MECDPDH: 2mecdp_c + h_c --> h2mb4p_c + h2o_c,Charge,"MECDPDH, FOMETRi","h_c, h2o_c",,-2.0
14,SMIA2abc,SMIA2abc: atp_c + h2o_c + istfrnA_e --> adp_c + fe2_c + h_c + pi_c + stfrnA_c,Charge,"SMIA2abc, GLUabcpp","pi_c, h_c, adp_c, h2o_c, atp_c",,2.0
