,Id,Name,Determined Formula,Determined Charge,Previous Formula,Previous Charge,Inferrence Type,Reasoning,Used Databases,Previous Databases,Similarity
0,M_lac__D_c,D-Lactate,C3H5O3,-1,C3H5O3,-1,Clean,unconstrained Target & Adherence & seed.compound:cpd00221,seed.compound:cpd00221,seed.compound:cpd00221,Same
1,M_lac__D_e,D-Lactate,C3H5O3,-1,C3H5O3,-1,Clean,unconstrained Target & Adherence & seed.compound:cpd00221,seed.compound:cpd00221,seed.compound:cpd00221,Same
2,M_mal__L_c,L-Malate,C4H4O5,-2,C4H4O5,-2,Clean,unconstrained Target & Adherence & seed.compound:cpd00130,seed.compound:cpd00130,seed.compound:cpd00130,Same
3,M_mal__L_e,L-Malate,C4H4O5,-2,C4H4O5,-2,Clean,unconstrained Target & Adherence & seed.compound:cpd00130,seed.compound:cpd00130,seed.compound:cpd00130,Same
4,M_nadph_c,Nicotinamide adenine dinucleotide phosphate - reduced,C21H26N7O17P3,-4,C21H26N7O17P3,-4,Clean,unconstrained Target & Adherence & seed.compound:cpd00005,seed.compound:cpd00005,seed.compound:cpd00005,Same
5,M_13dpg_c,3-Phospho-D-glyceroyl phosphate,C3H4O10P2,-4,C3H4O10P2,-4,Clean,unconstrained Target & Adherence & seed.compound:cpd00203,seed.compound:cpd00203,seed.compound:cpd00203,Same
6,M_o2_c,O2 O2,O2,0,O2,0,Clean,unconstrained Target & Adherence & seed.compound:cpd00007,seed.compound:cpd00007,seed.compound:cpd00007,Same
7,M_o2_e,O2 O2,O2,0,O2,0,Clean,unconstrained Target & Adherence & seed.compound:cpd00007,seed.compound:cpd00007,seed.compound:cpd00007,Same
8,M_3pg_c,3-Phospho-D-glycerate,C3H4O7P,-3,C3H4O7P,-3,Clean,unconstrained Target & Adherence & seed.compound:cpd00169,seed.compound:cpd00169,seed.compound:cpd00169,Same
9,M_6pgc_c,6-Phospho-D-gluconate,C6H10O10P,-3,C6H10O10P,-3,Clean,unconstrained Target & Adherence & seed.compound:cpd00284,seed.compound:cpd00284,seed.compound:cpd00284,Same
10,M_6pgl_c,"6-phospho-D-glucono-1,5-lactone",C6H9O9P,-2,C6H9O9P,-2,Clean,unconstrained Target & Adherence & seed.compound:cpd00911,seed.compound:cpd00911,seed.compound:cpd00911,Same
11,M_r5p_c,Alpha-D-Ribose 5-phosphate,C5H9O8P,-2,C5H9O8P,-2,Clean,unconstrained Target & Adherence & seed.compound:cpd19028,seed.compound:cpd19028,seed.compound:cpd19028,Same
12,M_s7p_c,Sedoheptulose 7-phosphate,C7H13O10P,-2,C7H13O10P,-2,Clean,unconstrained Target & Adherence & seed.compound:cpd00238,seed.compound:cpd00238,seed.compound:cpd00238,Same
13,M_accoa_c,Acetyl-CoA,C23H34N7O17P3S,-4,C23H34N7O17P3S,-4,Clean,unconstrained Target & Adherence & seed.compound:cpd00022,seed.compound:cpd00022,seed.compound:cpd00022,Same
14,M_succoa_c,Succinyl-CoA,C25H35N7O19P3S,-5,C25H35N7O19P3S,-5,Clean,unconstrained Target & Adherence & seed.compound:cpd00078,seed.compound:cpd00078,seed.compound:cpd00078,Same
15,M_acon_C_c,Cis-Aconitate,C6H3O6,-3,C6H3O6,-3,Clean,unconstrained Target & Adherence & seed.compound:cpd00331,seed.compound:cpd00331,seed.compound:cpd00331,Same
16,M_amp_c,AMP C10H12N5O7P,C10H12N5O7P,-2,C10H12N5O7P,-2,Clean,unconstrained Target & Adherence & seed.compound:cpd00018,seed.compound:cpd00018,seed.compound:cpd00018,Same
17,M_atp_c,ATP C10H12N5O13P3,C10H12N5O13P3,-4,C10H12N5O13P3,-4,Clean,unconstrained Target & Adherence & metanetx.chemical:MNXM3,metanetx.chemical:MNXM3,metanetx.chemical:MNXM3,Same
18,M_cit_c,Citrate,C6H5O7,-3,C6H5O7,-3,Clean,unconstrained Target & Adherence & seed.compound:cpd00137,seed.compound:cpd00137,seed.compound:cpd00137,Same
19,M_coa_c,Coenzyme A,C21H32N7O16P3S,-4,C21H32N7O16P3S,-4,Clean,unconstrained Target & Adherence & seed.compound:cpd00010,seed.compound:cpd00010,seed.compound:cpd00010,Same
20,M_etoh_c,Ethanol,C2H6O,0,C2H6O,0,Clean,unconstrained Target & Adherence & seed.compound:cpd00363,seed.compound:cpd00363,seed.compound:cpd00363,Same
21,M_etoh_e,Ethanol,C2H6O,0,C2H6O,0,Clean,unconstrained Target & Adherence & seed.compound:cpd00363,seed.compound:cpd00363,seed.compound:cpd00363,Same
22,M_f6p_c,D-Fructose 6-phosphate,C6H11O9P,-2,C6H11O9P,-2,Clean,unconstrained Target & Adherence & seed.compound:cpd19035,seed.compound:cpd19035,seed.compound:cpd19035,Same
23,M_fdp_c,"D-Fructose 1,6-bisphosphate",C6H10O12P2,-4,C6H10O12P2,-4,Clean,unconstrained Target & Adherence & seed.compound:cpd00290,seed.compound:cpd00290,seed.compound:cpd00290,Same
24,M_fum_c,Fumarate,C4H2O4,-2,C4H2O4,-2,Clean,unconstrained Target & Adherence & seed.compound:cpd00106,seed.compound:cpd00106,seed.compound:cpd00106,Same
25,M_fum_e,Fumarate,C4H2O4,-2,C4H2O4,-2,Clean,unconstrained Target & Adherence & seed.compound:cpd00106,seed.compound:cpd00106,seed.compound:cpd00106,Same
26,M_glc__D_e,D-Glucose,C6H12O6,0,C6H12O6,0,Clean,"unconstrained Target & Adherence & seed.compound:cpd00027, seed.compound:cpd26821","seed.compound:cpd00027, seed.compound:cpd26821","seed.compound:cpd00027, seed.compound:cpd26821",Same
27,M_glx_c,Glyoxylate,C2HO3,-1,C2HO3,-1,Clean,"unconstrained Target & Adherence & metanetx.chemical:MNXM69, seed.compound:cpd00040","metanetx.chemical:MNXM69, seed.compound:cpd00040","metanetx.chemical:MNXM69, seed.compound:cpd00040",Same
